canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
VD,Tévenon,5571,Route de Fontaines 25,1423,117.39,44300.00,8006.00,29035.20,14.264,20595.08,2040.07,9.906,18555.01
VD,Tévenon,5571,Chemin de la Faille 11,1423,146.13,41100.00,7106.00,27195.20,10.884,23812.05,2868.94,12.048,20943.11
VD,Tévenon,5571,Chemin de la Faille 10,1423,104.89,17000.00,1688.00,12249.60,19.155,5610.12,1146.82,20.44,4463.30
VD,Valeyres-sous-Rances,5763,Chemin de Marex 18,1358,92.19,17600.00,1782.00,12654.40,19.884,5634.93,1134.22,20.13,4500.70
VD,Valeyres-sous-Rances,5763,Chemin des Planches 3,1358,141.92,18700.00,1966.00,13387.20,21.59,5543.04,1121.95,20.24,4421.10
VD,Valeyres-sous-Rances,5763,Chemin de Marex 16,1358,75.03,24800.00,2967.00,17466.40,18.646,9418.37,1087.80,11.550,8330.57
VD,Valeyres-sous-Rances,5763,Rue de la Forge 4,1358,348.25,20300.00,2227.00,14458.40,17.987,7509.30,1187.81,15.818,6321.50
VD,Valeyres-sous-Rances,5763,Rue du Village 22,1358,842.33,126900.00,24591.00,81847.20,10.171,92210.38,1450.86,1.5734,90759.52
VD,Valeyres-sous-Rances,5763,Rue du Manoir 1,1358,803.42,17000.00,1683.00,12253.60,19.055,5667.69,1137.78,20.07,4529.91
VD,Valeyres-sous-Rances,5763,Rue de la Forge 10,1358,95.92,16900.00,1676.00,12179.20,19.251,5596.07,1114.23,19.911,4481.84
VD,Suchy,5929,Chemin des Vignes 17,1433,81.21,15200.00,1389.00,11048.80,22.16,4354.71,956.35,21.96,3398.36
VD,Valeyres-sous-Rances,5763,Rue du Village 23,1358,385.62,117700.00,22848.00,75881.60,10.155,85203.87,1549.67,1.8188,83654.20
VD,Valeyres-sous-Rances,5763,Rue du Village 24,1358,214.89,14600.00,1297.00,10642.40,21.32,4371.88,935.19,21.39,3436.69
VD,Valeyres-sous-Rances,5763,Rue du Village 12,1358,738.31,19300.00,2057.00,13794.40,18.277,6948.74,1171.88,16.865,5776.86
VD,Suchy,5929,Chemin du Moulinet 10,1433,102.65,46200.00,8546.00,30123.20,11.771,26134.98,2190.31,8.381,23944.66
VD,Suchy,5929,Chemin du Moulinet 26,1433,125.23,15000.00,1358.00,10913.60,21.77,4370.40,957.74,21.91,3412.66
VD,Suchy,5929,Route de Corcelles 13,1433,118.29,36600.00,5831.00,24615.20,13.284,17192.91,2525.34,14.688,14667.57
VD,Suchy,5929,Chemin du Moulinet 6b,1433,206.61,37300.00,6033.00,25013.60,13.813,19151.32,1349.49,7.046,17801.83
VD,Suchy,5929,Chemin du Moulinet 12b,1433,176.66,51200.00,9961.00,32991.20,11.341,30234.16,2196.65,7.265,28037.51
VD,Suchy,5929,Chemin du Moulinet 12a,1433,176.66,44200.00,7978.00,28977.60,12.142,24352.41,2083.04,8.554,22269.37
VD,Suchy,5929,Chemin du Moulinet 22a,1433,216.34,31800.00,4496.00,21843.20,16.282,13814.90,1295.25,9.376,12519.64
VD,Suchy,5929,Rue de la Laiterie 3,1433,675.79,15700.00,1480.00,11376.00,23.05,4330.37,954.48,22.04,3375.90
VD,Suchy,5929,Route de Belmont 5,1433,155.98,33500.00,4965.00,22828.00,19.602,11955.55,1302.04,10.891,10653.51
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 47,1412,139.70,44300.00,8010.00,29032.00,11.169,24668.14,3080.35,12.487,21587.79
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 40,1412,181.51,48600.00,9241.00,31487.20,12.577,25112.53,2458.64,9.790,22653.89
VD,Valeyres-sous-Ursins,5934,Bochelet 1,1412,232.61,13100.00,1049.00,9640.80,30.36,3026.42,576.66,19.054,2449.75
VD,Valeyres-sous-Ursins,5934,Chemin du Paquis 5,1412,324.34,29800.00,3920.00,20704.00,17.068,12260.02,1314.18,10.719,10945.85
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 45b,1412,119.95,44400.00,8046.00,29083.20,11.885,25020.96,2085.57,8.335,22935.39
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 45,1412,136.04,54200.00,10815.00,34708.00,10.312,34342.66,2721.10,7.923,31621.56
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 41,1412,462.24,21600.00,2436.00,15331.20,21.36,6574.21,1220.21,18.561,5354.00
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 28,1412,549.18,17600.00,1781.00,12655.20,19.499,5705.53,1168.48,20.48,4537.05
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 18,1412,487.79,169900.00,33643.00,109005.60,10.356,118287.25,3153.47,2.666,115133.78
VD,Valeyres-sous-Ursins,5934,Rue des Fontaines 39,1412,462.24,16400.00,1596.00,11843.20,24.83,4183.62,957.20,22.88,3226.42
VD,Donneloye,5913,Chemin du Marais 4,1407,49.50,23400.00,2733.00,16533.60,16.254,8459.28,1958.06,23.15,6501.22
VD,Donneloye,5913,Chemin des Oches 10,1407,138.06,128800.00,24957.00,83074.40,10.736,80296.28,5716.97,7.120,74579.31
VD,Donneloye,5913,Chemin des Oches 8,1407,170.13,47800.00,9000.00,31040.00,11.049,26696.10,3309.46,12.397,23386.64
VD,Donneloye,5913,Rue du Collège 1,1407,53.58,131200.00,25407.00,84634.40,10.825,88159.00,2329.68,2.643,85829.32
VD,Donneloye,5913,Chemin des Oches 6,1407,186.90,27900.00,3465.00,19548.00,17.408,11251.23,1272.75,11.312,9978.48
VD,Donneloye,5913,Praz Fornaz 1,1407,520.61,29700.00,3894.00,20644.80,18.010,11576.77,1287.29,11.120,10289.49
VD,Donneloye,5913,Rue des 3 Fontaines 12,1407,194.73,17700.00,1806.00,12715.20,19.491,5734.47,1174.22,20.48,4560.26
VD,Donneloye,5913,Praz Fornaz 2,1407,40.78,23800.00,2808.00,16793.60,19.990,8365.94,1057.47,12.640,7308.47
VD,Donneloye,5913,Chemin du Stade 1,1407,97.53,46700.00,8694.00,30404.80,10.718,26761.73,3398.28,12.698,23363.45
VD,Suscévaz,5930,Au Coin 3,1437,156.14,17200.00,1715.00,12388.00,19.724,5573.40,1108.46,19.888,4464.94
VD,Donneloye,5913,Chemin du Château 6,1407,123.37,17500.00,1775.00,12580.00,20.49,5489.08,1081.85,19.709,4407.23
VD,Suscévaz,5930,Au Coin 1,1437,103.55,18400.00,1917.00,13186.40,19.195,6149.34,1175.35,19.113,4973.99
VD,Suscévaz,5930,Les Prodesses 1,1437,147.52,17200.00,1717.00,12386.40,19.504,5593.13,1136.58,20.32,4456.55
VD,Suscévaz,5930,Chemin du Refuge 4,1437,99.71,41000.00,7077.00,27138.40,10.858,23069.79,3237.52,14.034,19832.26
VD,Suscévaz,5930,Le Marais 1,1437,100.70,28800.00,3647.00,20122.40,17.612,11421.54,1319.18,11.550,10102.36
VD,Suscévaz,5930,Au Coin 2,1437,140.54,32800.00,4765.00,22428.00,12.906,15542.38,2612.26,16.807,12930.12
