canton,municipality,bfs_code,address,plz,egid
ZH,Wetzikon (ZH),121,Bertschikerstrasse 51,8620,210205767
ZH,Wetzikon (ZH),121,Frohbergstrasse 89,8620,51148
ZH,Wetzikon (ZH),121,Bertschikerstrasse 17b,8620,51215
ZH,Wetzikon (ZH),121,Bertschikerstrasse 19e,8620,51221
ZH,Wetzikon (ZH),121,Bertschikerstrasse 19d,8620,51220
ZH,Wetzikon (ZH),121,Bertschikerstrasse 19c,8620,51219
ZH,Fischenthal,114,Rosenbergstrasse 98,8498,201040359
ZH,Fischenthal,114,Rosenbergstrasse 72,8498,210217763
ZH,Fischenthal,114,Rosenbergstrasse 69,8498,201036620
ZH,Fischenthal,114,Rosenbergstrasse 59,8498,201036618
ZH,Fischenthal,114,Rosenbergstrasse 101,8498,210198489
ZH,Fischenthal,114,Rosenbergstrasse 92,8498,201040357
ZH,Fischenthal,114,Rosenbergstrasse 77,8498,210185951
ZH,Fischenthal,114,Rosenbergstrasse 86,8498,210197942
ZH,Fischenthal,114,Moosstrasse 31,8498,191962860
ZH,Fischenthal,114,Rosenbergstrasse 67,8498,201026285
ZH,Rüti (ZH),118,Fägswilerstrasse 65,8630,46935
ZH,Rüti (ZH),118,Walderstrasse 130,8630,46936
ZH,Rüti (ZH),118,Fägswilerstrasse 55,8630,46933
ZH,Rüti (ZH),118,Fägswilerstrasse 43,8630,46920
ZH,Rüti (ZH),118,Fägswilerstrasse 41,8630,46919
ZH,Rüti (ZH),118,Hintergasse 12,8630,3115847
ZH,Rüti (ZH),118,Hintergasse 8,8630,46940
ZH,Rüti (ZH),118,Fägswilerstrasse 51,8630,46927
ZH,Rüti (ZH),118,Fägswilerstrasse 55b,8630,46932
ZH,Rüti (ZH),118,Fägswilerstrasse 44a,8630,46922
ZH,Seegräben,119,Etstel 5,8607,47478
ZH,Seegräben,119,Aathalstrasse 13,8607,47470
ZH,Seegräben,119,Aathalstrasse 25b,8607,210243451
ZH,Seegräben,119,Aathalstrasse 15,8607,47438
ZH,Seegräben,119,Aathalstrasse 27,8607,47474
ZH,Seegräben,119,Etstel 1,8607,47476
ZH,Seegräben,119,Etstel 2,8607,210210708
ZH,Seegräben,119,Etstel 4,8607,47479
ZH,Seegräben,119,Eichbühlstrasse 6,8607,3018731
ZH,Seegräben,119,Eichbühlstrasse 8,8607,47399
ZH,Bäretswil,111,Hofstrasse 3,8344,37803
ZH,Bäretswil,111,Hofstrasse 2,8344,37806
ZH,Bäretswil,111,Hofstrasse 1,8344,37804
ZH,Bäretswil,111,Erholungshausstrasse 20,8345,38250
ZH,Bäretswil,111,Erholungshausstrasse 21,8345,3017767
ZH,Bäretswil,111,Laubenfelsenstrasse 11,8344,37788
ZH,Bäretswil,111,Bettswilerstrasse 81,8344,37918
ZH,Bäretswil,111,Im Mülichram 5,8344,210202727
ZH,Bäretswil,111,Im Mülichram 2,8344,37816
ZH,Bäretswil,111,Im Mülichram 1,8344,37822
ZH,Stadel,100,Zelglistrasse 9,8175,1603294
ZH,Stadel,100,Raaterstrasse 9,8175,1603299
ZH,Stadel,100,Kaiserstuhlerstrasse 60,8175,1603251
ZH,Stadel,100,Kaiserstuhlerstrasse 63,8175,1603253
ZH,Stadel,100,Zelglistrasse 2,8175,1603293
ZH,Stadel,100,Zelglistrasse 1,8175,210198115
ZH,Stadel,100,Zelglistrasse 3,8175,210175783
ZH,Stadel,100,Raaterstrasse 5,8175,1603297
ZH,Stadel,100,Zelglistrasse 7,8175,1603296
